id,user,vendor,rating,rated_date
50,7,65,4,2022-11-28 18:45:14
49,6,32,4,2022-11-28 18:45:05
48,11,99,5,2022-11-28 18:44:58
47,7,71,5,2022-11-28 18:44:45
46,1,21,4,2022-11-28 18:44:37
45,1,46,4,2022-11-28 18:44:30
44,6,56,5,2022-11-28 18:44:20
43,5,13,5,2022-11-28 18:44:12
42,8,89,5,2022-11-28 18:44:03
41,5,66,4,2022-11-28 18:43:52
40,9,10,4,2022-11-28 18:43:41
39,8,63,4,2022-11-28 18:43:34
38,8,90,5,2022-11-28 18:43:25
37,5,59,4,2022-11-28 18:43:14
36,7,75,4,2022-11-28 18:43:06
35,5,89,4,2022-11-28 18:42:54
34,4,72,4,2022-11-28 18:42:44
33,5,59,4,2022-11-28 18:42:35
32,1,50,4,2022-11-28 18:42:27
31,4,20,5,2022-11-28 18:42:20
30,8,20,4,2022-11-28 18:42:15
29,7,21,4,2022-11-28 18:42:06
28,6,22,5,2022-11-28 18:41:58
27,6,17,4,2022-11-28 18:41:50
26,6,9,5,2022-11-28 18:41:43
25,12,9,4,2022-11-28 18:41:36
24,3,17,4,2022-11-28 18:41:30
23,11,4,3,2022-11-28 18:41:21
22,1,8,5,2022-11-28 18:41:13
21,1,15,4,2022-11-28 18:41:06
20,5,9,5,2022-11-24 09:46:55
19,5,11,3,2022-11-24 09:46:42
18,5,78,5,2022-11-24 09:46:20
17,7,98,5,2022-11-24 09:46:05
16,11,13,4,2022-11-24 09:45:31
15,10,89,3,2022-11-24 09:45:20
14,10,70,4,2022-11-24 09:45:06
10,6,18,5,2022-11-16 12:35:17
9,12,8,2,2022-11-14 11:21:00
8,12,10,5,2022-11-14 11:19:05
7,6,4,3,2022-11-09 23:36:15
6,6,3,4,2022-11-09 16:00:53
