id,title,genres,desc,image,vendorlocation,averagerating
101,Littlecloud Event Organizer,Wedding,"Littlecloud is a technology development-based EO from PT. Kreasi Inovasi Bangsa and has digital platform assistance services that are fast, flexible and customizable to answer every challenge and client need. In accordance with our tagline ""Make Events Accessible For Everyone"", Littlecloud wants every couple to be able to realize their dream wedding that is premium but still affordable. Littlecloud is ready to make your every moment more meaningful with us!",vendor_image/Littlecloud_Event_Organizer.png,"Jalan Ternate No 2A, Cideng, Gambir 10110",4
100,Mahar Agung Organizer,Wedding,by dr. Dwi Wijaya • est 2014 • always serve more than  you expected✨,vendor_image/Mahar_Agung_Organizer_1.png,"131, Sidosermo PDK IV-B, Surabaya, East Java 60239",4
99,Fortune Bali Wedding,Wedding,"Make your dream come true and get married in a paradise island with Fortune Bali Wedding. Our professional wedding planner is local Bali based planner. Enthusiast, passionate, and creative team with background in wedding and hospitality experience is an add on value for our team. We are very happy to assisting you to ensure your wedding day in Bali will be the memorable day in a lifetime. Plan with us now!",vendor_image/Fortune_Bali_Wedding_.jpeg,Jln. Saridana C No. 22 Ubung Kaja Denpasar Utara 80116,5
98,AVAVI BALI WEDDINGS,Wedding,"We are team of seasoned professionals from Bali’s wedding industry made available to you, to provide a caring and highly competent service, to ensure that your dream wedding is exactly as you imagined it.",vendor_image/AVAVI_BALI_WEDDINGS.jpeg,Taman Mumbul GG Pulasari KAV 252T Nusa Dua Bali 80364,5
97,Wirakalya Wedding,Wedding,"We are Wedding Organizer company based in Bogor & South Tangerang. The name of Wirakalya means `Pahlawan Kebahagiaan`. We know that preparing for the wedding is not an easy job to do. That`s why we are here, to be your greatest partner, consultant & friends. We know what you need, we listen what you want.",vendor_image/Wirakalya_Wedding.jpeg,"Jl.Raya Ps.Jengkol No.50, Setu, Tangerang Selatan. 15315",4
96,FIOR,Wedding,"PT. Cerita Dua Hati - FIOR - from Irish Language, meaning Authentic, Pure, Genuine. Our tagline is Memorable Moments Through Genuine Hearts. We believe our networking with many vendors can customize the client needs. Which distinguishes us from others is we can make your memorable moments through genuine hearts. Fior can be your one stop wedding solutions. We can give you inspirations in any kind of visual form or in real form, also give brainstorm that can be a real wedding concept.",vendor_image/FIOR.png,"Kencana Tower, Level M, Business Park Kebon Jeruk, Jl.Meruya Ilir No.8",5
95,Finest Organizer,Wedding,"Finest Organizer was found in August 2009, started from a wish to create an unforgettable event with a lasting beautiful impression Our team will be committed wholeheartedly to help you in fulfilling your dreams by creating the best events. Our services consist of International Wedding, Traditional Wedding, Sangjit, etc. Pls do not hesitate to contact us 0812-8115-5271 We're ready to be part of your special day.",vendor_image/Finest_Organizer.jpeg,"Green Lake City Cluster ASIA 11 n0 36 Cipondoh, Tangerang 15147",5
94,Cardenas Marketing Network,Concert Promoter,"Book tickets, enter and live more!",vendor_image/Cardenas_Marketing_Network.jpeg,Jln. Bimtek IV No.2 RT. 007 / 009 Kel. Cipinang Cempedak Jakarta Timur,4
93,C3 Presents,Concert Promoter,Buy the latest concert tickets for the latest artist gigs,vendor_image/C3_Presents.jpeg,Jln. Swadaya IV RT. 013 / 006 Kel. Rawa Bunga Jakarta Timur,5
92,Kilimanjaro Live,Concert Promoter,"Find tour dates, concert tickets, seating maps, pre-sale details and prices",vendor_image/Kilimanjaro_Live.jpeg,Jln. Kober Pedati RT. 007 / RW. 002 Kel. Balimester Jakarta Timur,5
